Date,Price,Volume
2012-11-13,8.53,1150000
2012-11-15,7.3,4031000
2012-11-16,6.75,3000000
2012-11-20,6.47,4478500
2012-11-20,6.56,868000
2012-11-22,6.64,4478500
2012-11-23,6.75,3000000
2012-11-27,6.7,4837500
2012-11-29,6.68,4837500
2012-11-30,6.23,3000000
2012-12-04,5.82,5301500
2012-12-06,6.3,5301500
2012-12-07,6.42,3000000
2012-12-10,6.63,1250000
2012-12-11,6.91,5515500
2012-12-13,6.55,5515500
2012-12-14,6.57,2531000
2012-12-17,6.29,1250000
2012-12-18,6.45,5584500
2013-01-07,6.18,3545000
2013-01-08,6.35,3544500
2013-01-10,5.93,3544500
2013-01-11,5.75,4020000
2013-01-14,5.55,3544500
2013-01-15,5.77,3544500
2013-01-17,5.36,3544500
2013-01-21,4.7,3544500
2013-01-22,4.88,3544000
2013-01-24,4.58,3544000
2013-01-25,3.88,5025000
2013-01-28,3.9,3472500
2013-01-29,3.88,3472500
2013-01-31,3.43,3472500
2013-02-01,3.15,5025000
2013-02-04,4.0,3472500
2013-02-05,4.1,3472000
2013-02-07,4.24,3472000
2013-02-08,4.32,5025000
2013-02-11,4.19,3472000
2013-02-12,4.44,3472000
2013-02-14,5.0,3472000
2013-02-15,4.96,5025000
2013-02-18,5.14,3553000
2013-02-19,4.31,3460500
2013-02-21,4.68,3460500
2013-02-25,4.76,3460500
2013-02-26,4.13,3460500
2013-02-26,4.29,2000000
2013-02-28,4.38,3460500
2013-03-01,4.64,5025000
2013-03-04,4.54,3460000
2013-03-05,4.41,3460000
2013-03-05,4.34,2000000
2013-03-07,4.12,3460000
2013-03-08,4.15,5025000
2013-03-11,4.01,3460000
2013-03-12,3.66,2000000
2013-03-14,3.36,4286500
2013-03-15,3.47,5025000
2013-03-18,3.47,4454000
2013-03-19,3.32,3565000
2013-03-19,3.33,4451000
2013-03-20,3.67,1568500
2013-03-21,4.06,4448500
2013-03-22,4.23,5025000
2013-03-25,4.1,3587500
2013-03-26,4.72,749000
2013-03-26,4.54,3587500
2013-03-28,4.72,3587500
2013-04-02,4.4,3587500
2013-04-04,4.69,3587500
2013-04-05,5.05,4020000
2013-04-08,4.98,3587500
2013-04-09,4.9,3554000
2013-04-11,4.3,3554000
2013-04-12,4.4,4020000
2013-04-15,4.68,3554000
2013-04-16,4.67,3553500
2013-04-18,2.75,3553500
2013-04-19,3.1,4020000
2013-04-22,2.77,3462000
2013-04-23,2.65,3462000
2013-04-23,2.76,2587500
2013-04-24,2.99,865000
2013-04-25,2.91,3462000
2013-04-25,2.95,2587000
2013-04-26,2.95,4020000
2013-04-29,3.04,3462000
2013-04-30,3.23,3462000
2013-05-02,2.9,3462000
2013-05-03,2.95,4020000
2013-05-06,3.65,3462000
2013-05-07,3.68,3462000
2013-05-10,3.52,4020000
2013-05-13,3.23,3462000
2013-05-14,3.23,3462000
2013-05-16,3.47,3462000
2013-05-17,3.55,4020000
2013-05-21,3.49,3462000
2013-05-23,3.2,3462000
2013-05-24,3.3,4020000
2013-05-27,3.41,3462000
2013-05-28,3.5,3462000
2013-05-30,3.65,3462000
2013-05-31,3.96,4020000
2013-06-03,3.8,3461500
2013-06-04,3.9,3461500
2013-06-06,3.9,3461500
2013-06-07,4.12,4020000
2013-06-10,4.14,3461500
2013-06-11,3.97,3461500
2013-06-13,4.55,3461500
2013-06-14,4.4,4020000
2013-06-17,4.65,3461500
2013-06-18,4.63,3461500
2013-06-20,4.3,3461500
2013-06-21,4.33,4020000
2013-06-24,4.19,3461500
2013-06-25,4.04,3461500
2013-06-27,4.31,3461500
2013-06-28,4.31,4020000
2013-07-01,4.06,3461500
2013-07-02,4.23,3461500
2013-07-04,4.55,3461500
2013-07-05,4.4,4020000
2013-07-08,4.16,3461500
2013-07-09,4.2,3461500
2013-07-11,4.06,3461500
2013-07-12,3.95,4020000
2013-07-15,3.99,3461500
2013-07-16,4.11,3461500
2013-07-18,4.1,3461500
2013-07-19,4.06,4020000
2013-07-22,4.1,3461500
2013-07-23,4.26,3461500
2013-07-25,4.3,3461500
2013-07-26,4.28,4020000
2013-07-29,4.24,3461500
2013-07-30,4.33,3461500
2013-08-01,4.36,1768500
2013-08-02,4.3,2010000
2013-08-05,4.4,1768500
2013-08-06,4.39,1768500
2013-08-08,4.43,1768500
2013-08-09,4.48,2010000
2013-08-12,4.4,1768500
2013-08-13,4.28,1768500
